NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE%MSIGDBHALLMARK%HALLMARK_UNFOLDED_PROTEIN_RESPONSE	100	82		
HALLMARK_APICAL_SURFACE%MSIGDBHALLMARK%HALLMARK_APICAL_SURFACE	41	27		
HALLMARK_PROTEIN_SECRETION%MSIGDBHALLMARK%HALLMARK_PROTEIN_SECRETION	83	75		
HALLMARK_HEME_METABOLISM%MSIGDBHALLMARK%HALLMARK_HEME_METABOLISM	167	124		
HALLMARK_APICAL_JUNCTION%MSIGDBHALLMARK%HALLMARK_APICAL_JUNCTION	165	104		
HALLMARK_PANCREAS_BETA_CELLS%MSIGDBHALLMARK%HALLMARK_PANCREAS_BETA_CELLS	37		Rejected!	
HALLMARK_XENOBIOTIC_METABOLISM%MSIGDBHALLMARK%HALLMARK_XENOBIOTIC_METABOLISM	160	98		
HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS	166	104		
HALLMARK_ANGIOGENESIS%MSIGDBHALLMARK%HALLMARK_ANGIOGENESIS	33	20		
HALLMARK_MTORC1_SIGNALING%MSIGDBHALLMARK%HALLMARK_MTORC1_SIGNALING	166	137		
HALLMARK_ESTROGEN_RESPONSE_LATE%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_LATE	176	113		
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	167	144		
HALLMARK_ANDROGEN_RESPONSE%MSIGDBHALLMARK%HALLMARK_ANDROGEN_RESPONSE	74	59		
HALLMARK_KRAS_SIGNALING_UP%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_UP	167	108		
HALLMARK_MYC_TARGETS_V1%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V1	164	143		
HALLMARK_BILE_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_BILE_ACID_METABOLISM	97	62		
HALLMARK_PEROXISOME%MSIGDBHALLMARK%HALLMARK_PEROXISOME	91	67		
HALLMARK_KRAS_SIGNALING_DN%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_DN	178	67		
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	47	46		
HALLMARK_NOTCH_SIGNALING%MSIGDBHALLMARK%HALLMARK_NOTCH_SIGNALING	25	21		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDBHALLMARK%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	41	32		
HALLMARK_UV_RESPONSE_UP%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_UP	135	100		
HALLMARK_IL2_STAT5_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL2_STAT5_SIGNALING	177	145		
HALLMARK_COAGULATION%MSIGDBHALLMARK%HALLMARK_COAGULATION	108	59		
<I>S< I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION%BIOCYC%PWY-4361	5		Rejected!	
L-CYSTEINE DEGRADATION III%BIOCYC%PWY-5329	3		Rejected!	
L-GLUTAMATE DEGRADATION (VIA 4-AMINOBUTANOATE)%BIOCYC%PWY0-1305	3		Rejected!	
ESTRADIOL BIOSYNTHESIS II%BIOCYC%PWY-7306	2		Rejected!	
DOCOSAHEXAENOATE BIOSYNTHESIS III (6-DESATURASE, MAMMALS)%BIOCYC%PWY-7606	5		Rejected!	
METHYLGLYOXAL DEGRADATION VI%BIOCYC%MGLDLCTANA-PWY	1		Rejected!	
GLUTARYL-COA DEGRADATION%BIOCYC%PWY-5177	4		Rejected!	
L-ASPARAGINE BIOSYNTHESIS%BIOCYC%ASPARAGINE-BIOSYNTHESIS	1		Rejected!	
PHYTOL DEGRADATION%BIOCYC%PWY66-389	2		Rejected!	
MENAQUINOL-4 BIOSYNTHESIS II%BIOCYC%PWY-7998	1		Rejected!	
SUPERPATHWAY OF D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE METABOLISM%BIOCYC%PWY-6358	20	17		
L-CYSTEINE BIOSYNTHESIS III (FROM L-HOMOCYSTEINE)%BIOCYC%HOMOCYSDEGR-PWY	2		Rejected!	
SUPERPATHWAY OF PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7211	22	19		
MOLYBDENUM COFACTOR BIOSYNTHESIS%BIOCYC%PWY-8171	1		Rejected!	
SEROTONIN AND MELATONIN BIOSYNTHESIS%BIOCYC%PWY-6030	5		Rejected!	
ZYMOSTEROL BIOSYNTHESIS%BIOCYC%PWY-6074	4		Rejected!	
&GAMMA;-LINOLENATE BIOSYNTHESIS%BIOCYC%PWY-6000	9		Rejected!	
MRNA CAPPING II%BIOCYC%PWY-7379	4		Rejected!	
PEPTIDO-CONJUGATES IN TISSUE REGENERATION BIOSYNTHESIS%BIOCYC%PWY-8355	7		Rejected!	
SUPERPATHWAY OF GERANYLGERANYLDIPHOSPHATE BIOSYNTHESIS I (VIA MEVALONATE)%BIOCYC%PWY-5910	12		Rejected!	
L-GLUTAMINE DEGRADATION%BIOCYC%GLUTAMINDEG-PWY	2		Rejected!	
L-TYROSINE DEGRADATION%BIOCYC%TYRFUMCAT-PWY	5		Rejected!	
NORADRENALINE AND ADRENALINE DEGRADATION%BIOCYC%PWY-6342	10		Rejected!	
<I>N< I>-ACETYLGLUCOSAMINE DEGRADATION II%BIOCYC%PWY-6517	4		Rejected!	
L-HISTIDINE DEGRADATION%BIOCYC%PWY-5030	5		Rejected!	
NADH REPAIR%BIOCYC%PWY-6938	3		Rejected!	
URACIL DEGRADATION I (REDUCTIVE)%ARACYC%PWY-3982	3		Rejected!	
SUPERPATHWAY OF INOSITOL PHOSPHATE COMPOUNDS%BIOCYC%PWY-6371	68	57		
L-PROLINE DEGRADATION%BIOCYC%PROUT-PWY	2		Rejected!	
METHYLGLYOXAL DEGRADATION I%BIOCYC%PWY-5386	2		Rejected!	
L-ALANINE DEGRADATION%BIOCYC%ALANINE-DEG3-PWY	2		Rejected!	
ACETATE CONVERSION TO ACETYL-COA%BIOCYC%PWY0-1313	3		Rejected!	
SPERMINE AND SPERMIDINE DEGRADATION I%BIOCYC%PWY-6117	5		Rejected!	
L-TYROSINE BIOSYNTHESIS%BIOCYC%PWY-6134	1		Rejected!	
ACYLCERAMIDE BIOSYNTHESIS AND PROCESSING%BIOCYC%PWY-8042	7		Rejected!	
HOMOCARNOSINE BIOSYNTHESIS%BIOCYC%PWY66-421	1		Rejected!	
UMP BIOSYNTHESIS%BIOCYC%PWY-5686	3		Rejected!	
GUANOSINE NUCLEOTIDES DEGRADATION%BIOCYC%PWY-6608	4		Rejected!	
SUPEROXIDE RADICALS DEGRADATION%BIOCYC%DETOX1-PWY	4		Rejected!	
<I>MYO< I>-INOSITOL BIOSYNTHESIS%BIOCYC%PWY-2301	3		Rejected!	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	73	72		
DOLICHOL AND DOLICHYL PHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6129	4		Rejected!	
PURINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-841	30	23		
NAD SALVAGE PATHWAY IV (FROM NICOTINAMIDE RIBOSIDE)%BIOCYC%PWY3O-4106	5		Rejected!	
GABA SHUNT%BIOCYC%GLUDEG-I-PWY	7		Rejected!	
PENTOSE PHOSPHATE PATHWAY (OXIDATIVE BRANCH)%BIOCYC%OXIDATIVEPENT-PWY	3		Rejected!	
GUANOSINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7228	15		Rejected!	
SERINE AND GLYCINE BIOSYNTHESIS%BIOCYC%SER-GLYSYN-PWY	6		Rejected!	
PURINE DEOXYRIBONUCLEOSIDES SALVAGE%BIOCYC%PWY-7224	12		Rejected!	
THYROID HORMONE METABOLISM II (VIA CONJUGATION AND OR DEGRADATION)%BIOCYC%PWY-6261	6		Rejected!	
GLUTAMINYL-TRNA<SUP>GLN< SUP> BIOSYNTHESIS VIA TRANSAMIDATION%BIOCYC%PWY-5921	3		Rejected!	
VITAMIN K-EPOXIDE CYCLE%BIOCYC%PWY-7999	4		Rejected!	
MELATONIN DEGRADATION I%BIOCYC%PWY-6398	11		Rejected!	
PURINE DEOXYRIBONUCLEOSIDES DEGRADATION%BIOCYC%PWY-7179-1	2		Rejected!	
GLUTATHIONE-MEDIATED DETOXIFICATION I%BIOCYC%PWY-4061	21		Rejected!	
TETRAHYDROFOLATE SALVAGE FROM 5,10-METHENYLTETRAHYDROFOLATE%BIOCYC%PWY-6613	2		Rejected!	
ICOSAPENTAENOATE METABOLITES BIOSYNTHESIS%BIOCYC%PWY-8399	3		Rejected!	
PUTRESCINE BIOSYNTHESIS I%BIOCYC%PWY-40	2		Rejected!	
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II%BIOCYC%PWY4FS-6	6		Rejected!	
CARNOSINE BIOSYNTHESIS%BIOCYC%PWY66-420	1		Rejected!	
CHOLESTEROL BIOSYNTHESIS III (VIA DESMOSTEROL)%BIOCYC%PWY66-4	12		Rejected!	
PYRIMIDINE DEOXYRIBONUCLEOTIDE PHOSPHORYLATION%BIOCYC%PWY-7197	11		Rejected!	
PROTECTIN BIOSYNTHESIS%BIOCYC%PWY-8357	3		Rejected!	
L-LYSINE DEGRADATION (PIPECOLATE PATHWAY)%BIOCYC%PWY66-425	5		Rejected!	
CHONDROITIN SULFATE DEGRADATION (METAZOA)%BIOCYC%PWY-6573	3		Rejected!	
(S)-RETICULINE BIOSYNTHESIS%BIOCYC%PWY-6133	1		Rejected!	
ATP BIOSYNTHESIS%BIOCYC%PWY-7980	33	18		
FOLATE POLYGLUTAMYLATION%BIOCYC%PWY-2161	5		Rejected!	
L-SERINE BIOSYNTHESIS%BIOCYC%SERSYN-PWY	4		Rejected!	
L-ASPARAGINE DEGRADATION I%BIOCYC%ASPARAGINE-DEG1-PWY	2		Rejected!	
ITACONATE BIOSYNTHESIS I%BIOCYC%PWY-5750	1		Rejected!	
5-AMINOIMIDAZOLE RIBONUCLEOTIDE BIOSYNTHESIS%BIOCYC%PWY-6121	3		Rejected!	
PYRIMIDINE RIBONUCLEOSIDES SALVAGE I%BIOCYC%PWY-7193	4		Rejected!	
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	24	21		
PUTRESCINE BIOSYNTHESIS III%BIOCYC%PWY-46	2		Rejected!	
PYRIMIDINE RIBONUCLEOSIDES DEGRADATION%BIOCYC%PWY0-1295	3		Rejected!	
KETOGENESIS%HUMANCYC%REACT_1464.NULL	5		Rejected!	
D-GLUCURONATE DEGRADATION%BIOCYC%PWY-5525	3		Rejected!	
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6351	25	20		
ETHANOL DEGRADATION IV%BIOCYC%PWY66-162	6		Rejected!	
CARBON DISULFIDE OXIDATION III (METAZOA)%BIOCYC%PWY-7926	1		Rejected!	
L-ISOLEUCINE DEGRADATION%BIOCYC%ILEUDEG-PWY	11		Rejected!	
GLYCINE BIOSYNTHESIS%BIOCYC%GLYSYN-ALA-PWY	2		Rejected!	
ARACHIDONATE BIOSYNTHESIS V (8-DETATURASE, MAMMALS)%BIOCYC%PWY-7725	3		Rejected!	
SUPERPATHWAY OF GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7835	26	20		
HEME DEGRADATION I%BIOCYC%PWY-5874	4		Rejected!	
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III%BIOCYC%PWY-6273	1		Rejected!	
NEOLACTO-SERIES GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7841	13		Rejected!	
GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)%BIOCYC%PWY-6	2		Rejected!	
GDP-L-FUCOSE BIOSYNTHESIS I (FROM GDP-D-MANNOSE)%BIOCYC%PWY-66	1		Rejected!	
THIAMINE SALVAGE III%BIOCYC%PWY-6898	1		Rejected!	
THYMINE DEGRADATION%BIOCYC%PWY-6430	3		Rejected!	
<I>S< I>-METHYL-5'-THIOADENOSINE DEGRADATION%BIOCYC%PWY-6756	1		Rejected!	
NAD PHOSPHORYLATION AND TRANSHYDROGENATION%BIOCYC%NADPHOS-DEPHOS-PWY-1	2		Rejected!	
CHOLINE DEGRADATION%BIOCYC%CHOLINE-BETAINE-ANA-PWY	2		Rejected!	
ADENINE AND ADENOSINE SALVAGE VI%BIOCYC%PWY-6619	1		Rejected!	
PLASMALOGEN BIOSYNTHESIS%BIOCYC%PWY-7782	15		Rejected!	
L-DOPA AND L-DOPACHROME BIOSYNTHESIS%BIOCYC%PWY-6481	1		Rejected!	
L-TRYPTOPHAN DEGRADATION XI (MAMMALIAN, VIA KYNURENINE)%BIOCYC%PWY-6309	14		Rejected!	
ESTRADIOL BIOSYNTHESIS I (VIA ESTRONE)%BIOCYC%PWY66-380	6		Rejected!	
ICOSAPENTAENOATE BIOSYNTHESIS III (8-DESATURASE, MAMMALS)%BIOCYC%PWY-7724	9		Rejected!	
SULFITE OXIDATION%BIOCYC%PWY-5326	1		Rejected!	
HISTAMINE BIOSYNTHESIS%BIOCYC%PWY-6173	1		Rejected!	
GANGLIO-SERIES GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7836	9		Rejected!	
ABH AND LEWIS EPITOPES BIOSYNTHESIS FROM TYPE 1 PRECURSOR DISACCHARIDE%BIOCYC%PWY-7832	6		Rejected!	
METHYLGLYOXAL DEGRADATION III%BIOCYC%PWY-5453	3		Rejected!	
UBIQUINOL-10 BIOSYNTHESIS%BIOCYC%PWY-5872	8		Rejected!	
S-ADENOSYL-L-METHIONINE BIOSYNTHESIS%BIOCYC%SAM-PWY	3		Rejected!	
PLASMALOGEN DEGRADATION%BIOCYC%PWY-7783	2		Rejected!	
SUPERPATHWAY OF PYRIMIDINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY0-162	15		Rejected!	
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS V (FROM INS(1,3,4)P3)%BIOCYC%PWY-6554	3		Rejected!	
GLYCINE SERINE BIOSYNTHESIS%BIOCYC%GLYSYN-PWY	2		Rejected!	
[2FE-2S] IRON-SULFUR CLUSTER BIOSYNTHESIS%BIOCYC%PWY-7250	1		Rejected!	
OLEATE BIOSYNTHESIS%BIOCYC%PWY-5996	6		Rejected!	
C20 PROSTANOID BIOSYNTHESIS%HUMANCYC%15369	14		Rejected!	
3-PHOSPHOINOSITIDE DEGRADATION%BIOCYC%PWY-6368	19	15		
ULTRA-LONG-CHAIN FATTY ACID BIOSYNTHESIS%BIOCYC%PWY-8041	3		Rejected!	
COENZYME A BIOSYNTHESIS II (EUKARYOTIC)%BIOCYC%PWY-7851	3		Rejected!	
RESOLVIN D BIOSYNTHESIS%BIOCYC%PWY66-397	4		Rejected!	
ACETONE DEGRADATION I (TO METHYLGLYOXAL)%BIOCYC%PWY-5451	5		Rejected!	
ARACHIDONATE METABOLITES BIOSYNTHESIS%BIOCYC%PWY-8397	28	18		
PROTEIN CITRULLINATION%BIOCYC%PWY-4921	5		Rejected!	
L-PHENYLALANINE DEGRADATION I (AEROBIC)%BIOCYC%PHENYLALANINE-DEG1-PWY	1		Rejected!	
PHOSPHATIDYLSERINE BIOSYNTHESIS II%BIOCYC%PWY-7506	1		Rejected!	
D-<I>MYO< I>-INOSITOL (1,3,4)-TRISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6364	15		Rejected!	
INOSITOL DIPHOSPHATES BIOSYNTHESIS%BIOCYC%PWY-6369	7		Rejected!	
THYRONAMINE AND IODOTHYRONAMINE METABOLISM%BIOCYC%PWY-6688	3		Rejected!	
THIOREDOXIN PATHWAY%BIOCYC%THIOREDOX-PWY	3		Rejected!	
15-<I>EPI< I>-LIPOXIN BIOSYNTHESIS%BIOCYC%PWY66-393	2		Rejected!	
ACETYL-COA BIOSYNTHESIS FROM CITRATE%BIOCYC%PWY-5172	1		Rejected!	
KETOLYSIS%HUMANCYC%REACT_59.NULL	4		Rejected!	
2'-DEOXY-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION%BIOCYC%PWY-7180	6		Rejected!	
ANANDAMIDE LIPOXYGENATION%BIOCYC%PWY-8056	3		Rejected!	
L-METHIONINE SALVAGE FROM L-HOMOCYSTEINE%BIOCYC%ADENOSYLHOMOCYSCAT-PWY	3		Rejected!	
SUPERPATHWAY OF MELATONIN DEGRADATION%BIOCYC%PWY-6402	12		Rejected!	
2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE DEGRADATION TO GLUTARYL-COA%BIOCYC%PWY-5652	3		Rejected!	
GLUTATHIONE-PEROXIDE REDOX REACTIONS%BIOCYC%PWY-4081	6		Rejected!	
NAD SALVAGE%BIOCYC%NAD-BIOSYNTHESIS-III	4		Rejected!	
HISTAMINE DEGRADATION%BIOCYC%PWY-6181	2		Rejected!	
CDP-DIACYLGLYCEROL BIOSYNTHESIS%BIOCYC%PWY-5667	17		Rejected!	
RAPOPORT-LUEBERING GLYCOLYTIC SHUNT%BIOCYC%PWY-6405	2		Rejected!	
FATTY ACID &ALPHA;-OXIDATION III%BIOCYC%PWY66-388	2		Rejected!	
GLUCONEOGENESIS%BIOCYC%PWY66-399	24	16		
PHENYLETHYLAMINE DEGRADATION I%BIOCYC%2PHENDEG-PWY	6		Rejected!	
PENTOSE PHOSPHATE PATHWAY (NON-OXIDATIVE BRANCH)%BIOCYC%NONOXIPENT-PWY	4		Rejected!	
VERY LONG CHAIN FATTY ACID BIOSYNTHESIS II%BIOCYC%PWY-7036	4		Rejected!	
ARACHIDONATE BIOSYNTHESIS III (6-DESATURASE, MAMMALS)%BIOCYC%PWY-7592	13		Rejected!	
D-<I>MYO< I>-INOSITOL (3,4,5,6)-TETRAKISPHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6365	2		Rejected!	
&GAMMA;-GLUTAMYL CYCLE%BIOCYC%PWY-4041	7		Rejected!	
UTP AND CTP DEPHOSPHORYLATION I%BIOCYC%PWY-7185	3		Rejected!	
GLYCOGENOLYSIS%BIOCYC%PWY-5941	11		Rejected!	
L-VALINE DEGRADATION%BIOCYC%VALDEG-PWY	12		Rejected!	
ARG N-END RULE PATHWAY (EUKARYOTIC)%BIOCYC%PWY-7799	8		Rejected!	
ASPIRIN TRIGGERED RESOLVIN D BIOSYNTHESIS%BIOCYC%PWY66-395	2		Rejected!	
L-ASPARTATE BIOSYNTHESIS%BIOCYC%ASPARTATESYN-PWY	2		Rejected!	
OXIDIZED GTP AND DGTP DETOXIFICATION%BIOCYC%PWY-6502	1		Rejected!	
GDP-GLUCOSE BIOSYNTHESIS II%BIOCYC%PWY-5661-1	7		Rejected!	
MELATONIN DEGRADATION II%BIOCYC%PWY-6399	1		Rejected!	
TRNA SPLICING II%BIOCYC%PWY-7803	10		Rejected!	
PYRIMIDINE DEOXYRIBONUCLEOSIDES SALVAGE%BIOCYC%PWY-7199	5		Rejected!	
PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7184	15		Rejected!	
L-PROLINE BIOSYNTHESIS%BIOCYC%PROSYN-PWY	3		Rejected!	
4-HYDROXY-2-NONENAL DETOXIFICATION%BIOCYC%PWY-7112	5		Rejected!	
PURINE NUCLEOTIDES DEGRADATION%BIOCYC%PWY-6353	11		Rejected!	
L-CYSTEINE BIOSYNTHESIS%BIOCYC%PWY-6292	6		Rejected!	
L-METHIONINE SALVAGE CYCLE%BIOCYC%PWY-7527	10		Rejected!	
D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE DEGRADATION%BIOCYC%PWY-6363	13		Rejected!	
2-METHYL-BRANCHED FATTY ACID &BETA;-OXIDATION%BIOCYC%PWY-8181	1		Rejected!	
BMP SIGNALLING PATHWAY%HUMANCYC%REACT_12034.NULL	7		Rejected!	
LEUKOTRIENE BIOSYNTHESIS%HUMANCYC%15354	8		Rejected!	
PROGESTERONE BIOSYNTHESIS%BIOCYC%PWY-7299	2		Rejected!	
L-GLUTAMATE BIOSYNTHESIS%BIOCYC%GLUTAMATE-SYN2-PWY	2		Rejected!	
RETINOATE BIOSYNTHESIS II%BIOCYC%PWY-6875	4		Rejected!	
GLUTATHIONE BIOSYNTHESIS%BIOCYC%GLUTATHIONESYN-PWY	3		Rejected!	
DOPAMINE DEGRADATION%BIOCYC%PWY6666-2	5		Rejected!	
MARESIN BIOSYNTHESIS%BIOCYC%PWY-8356	3		Rejected!	
L-ASPARTATE DEGRADATION I%BIOCYC%ASPARTATE-DEG1-PWY	2		Rejected!	
GALA-SERIES GLYCOSPHINGOLIPIDS BIOSYNTHESIS%BIOCYC%PWY-7840	3		Rejected!	
SORBITOL DEGRADATION I%BIOCYC%PWY-4101	1		Rejected!	
PYRUVATE FERMENTATION TO (<I>S< I>)-LACTATE%BIOCYC%PWY-5481	3		Rejected!	
PUTRESCINE DEGRADATION III%BIOCYC%PWY-0	10		Rejected!	
CREATINE-PHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6158	4		Rejected!	
QUEUOSINE BIOSYNTHESIS II (QUEUINE SALVAGE)%BIOCYC%PWY-8105	2		Rejected!	
L-LEUCINE DEGRADATION%BIOCYC%LEU-DEG2-PWY	12		Rejected!	
GLYCEROL-3-PHOSPHATE SHUTTLE%BIOCYC%PWY-6118	1		Rejected!	
L-ASPARAGINE DEGRADATION%BIOCYC%ASPARAGINE-DEG1-PWY-1	4		Rejected!	
SEROTONIN DEGRADATION%BIOCYC%PWY-6313	9		Rejected!	
ADENOSINE RIBONUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7219	10		Rejected!	
ACYL-COA HYDROLYSIS%BIOCYC%PWY-5148	3		Rejected!	
ANANDAMIDE BIOSYNTHESIS II%BIOCYC%PWY-8053	5		Rejected!	
L-TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE%BIOCYC%PWY-5651	7		Rejected!	
UDP-&ALPHA;-D-XYLOSE BIOSYNTHESIS%BIOCYC%PWY-4821	2		Rejected!	
PHOSPHOLIPASES%BIOCYC%LIPASYN-PWY	42	21		
EPOXYSQUALENE BIOSYNTHESIS%BIOCYC%PWY-5670	2		Rejected!	
CARDENOLIDE BIOSYNTHESIS%BIOCYC%PWY-6032	2		Rejected!	
CHOLESTEROL BIOSYNTHESIS I%BIOCYC%PWY66-341	12		Rejected!	
OPHTHALMATE BIOSYNTHESIS%BIOCYC%PWY-8043	4		Rejected!	
COENZYME A BIOSYNTHESIS%BIOCYC%COA-PWY-1	6		Rejected!	
SUCROSE DEGRADATION%BIOCYC%PWY66-373	7		Rejected!	
PRPP BIOSYNTHESIS%BIOCYC%PWY0-662	3		Rejected!	
SUPERPATHWAY OF PYRIMIDINE DEOXYRIBONUCLEOSIDE SALVAGE%BIOCYC%PWY-7200	16		Rejected!	
PHOSPHATIDYLCHOLINE BIOSYNTHESIS%BIOCYC%PWY3O-450	6		Rejected!	
SUPERPATHWAY OF L-TRYPTOPHAN UTILIZATION%BIOCYC%PWY66-401	43	28		
FATTY ACID &BETA;-OXIDATION (PEROXISOME)%BIOCYC%PWY66-391	12		Rejected!	
L-TRYPTOPHAN DEGRADATION VIA TRYPTAMINE%BIOCYC%PWY-6307	4		Rejected!	
TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY	38	19		
PYRIDOXAL 5'-PHOSPHATE SALVAGE%BIOCYC%PLPSAL-PWY-1	2		Rejected!	
<I>N< I>-ACETYLGLUCOSAMINE DEGRADATION I%BIOCYC%GLUAMCAT-PWY	3		Rejected!	
4-HYDROXYBENZOATE BIOSYNTHESIS%BIOCYC%PWY-5754	1		Rejected!	
SUPERPATHWAY OF PURINE NUCLEOTIDE SALVAGE%BIOCYC%PWY66-409	30	23		
SPHINGOLIPID BIOSYNTHESIS (MAMMALS)%BIOCYC%PWY-7277	7		Rejected!	
