NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
STRIATED MUSCLE CELL DEVELOPMENT%GOBP%GO:0055002	STRIATED MUSCLE CELL DEVELOPMENT%GOBP%GO:0055002	Details ...	37	0.72616166	2.0575936	0.0	6.4030424E-4	0.007	1460	tags=43%, list=11%, signal=48%	
POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	POSITIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032732	Details ...	51	0.69312465	2.0559957	0.0	5.869455E-4	0.007	1407	tags=47%, list=10%, signal=52%	
PLATELET ACTIVATION%GOBP%GO:0030168	PLATELET ACTIVATION%GOBP%GO:0030168	Details ...	67	0.6627777	2.0491393	0.0	6.1799353E-4	0.008	2263	tags=46%, list=17%, signal=55%	
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032760	POSITIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032760	Details ...	69	0.6616117	2.0481195	0.0	5.738511E-4	0.008	2146	tags=46%, list=16%, signal=55%	
HEART CONTRACTION%GOBP%GO:0060047	HEART CONTRACTION%GOBP%GO:0060047	Details ...	41	0.70965904	2.03877	0.0	5.3559436E-4	0.008	1104	tags=41%, list=8%, signal=45%	
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	Details ...	53	0.6755637	2.0241883	0.0	6.8920717E-4	0.011	1852	tags=42%, list=14%, signal=48%	
GLYCOSPHINGOLIPID CATABOLISM%REACTOME DATABASE ID RELEASE 65%9840310	GLYCOSPHINGOLIPID CATABOLISM%REACTOME DATABASE ID RELEASE 65%9840310	Details ...	29	0.74485356	2.0229228	0.0	6.4866553E-4	0.011	1524	tags=48%, list=11%, signal=54%	
NEUROINFLAMMATORY RESPONSE%GOBP%GO:0150076	NEUROINFLAMMATORY RESPONSE%GOBP%GO:0150076	Details ...	21	0.81096286	2.0107129	0.0	8.9077756E-4	0.016	1485	tags=62%, list=11%, signal=69%	
REGULATION OF LYSOSOMAL LUMEN PH%GOBP%GO:0035751	REGULATION OF LYSOSOMAL LUMEN PH%GOBP%GO:0035751	Details ...	25	0.771801	2.0077636	0.0	9.502281E-4	0.018	2550	tags=72%, list=19%, signal=89%	
HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034113	HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034113	Details ...	24	0.78773904	2.006815	0.0	9.0271665E-4	0.018	1568	tags=42%, list=12%, signal=47%	
MYOFIBRIL ASSEMBLY%GOBP%GO:0030239	MYOFIBRIL ASSEMBLY%GOBP%GO:0030239		36	0.733451	2.0042322	0.0	9.555832E-4	0.02	1460	tags=44%, list=11%, signal=50%	
DETECTION OF BIOTIC STIMULUS%GOBP%GO:0009595	DETECTION OF BIOTIC STIMULUS%GOBP%GO:0009595		23	0.79875416	1.998912	0.0	9.582926E-4	0.021	1407	tags=57%, list=10%, signal=63%	
LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269	LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE%GOBP%GO:0002269		17	0.818637	1.9929804	0.0	0.0011792426	0.026	1973	tags=71%, list=15%, signal=83%	
REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043300	REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043300		29	0.7519259	1.9914875	0.0	0.0011301074	0.026	1834	tags=55%, list=14%, signal=64%	
PHAGOCYTOSIS%GOBP%GO:0006909	PHAGOCYTOSIS%GOBP%GO:0006909		99	0.6152175	1.987645	0.0	0.0012452693	0.029	2008	tags=36%, list=15%, signal=42%	
NEUROMUSCULAR PROCESS%GOBP%GO:0050905	NEUROMUSCULAR PROCESS%GOBP%GO:0050905		35	0.7200534	1.9856542	0.0	0.0012357628	0.03	1375	tags=40%, list=10%, signal=44%	
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903557	POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903557		72	0.6383287	1.9838312	0.0	0.0011899939	0.03	2454	tags=49%, list=18%, signal=59%	
GLIAL CELL ACTIVATION%GOBP%GO:0061900	GLIAL CELL ACTIVATION%GOBP%GO:0061900		20	0.80652565	1.982049	0.0	0.0012202039	0.032	1485	tags=60%, list=11%, signal=67%	
LYSOSOMAL LUMEN ACIDIFICATION%GOBP%GO:0007042	LYSOSOMAL LUMEN ACIDIFICATION%GOBP%GO:0007042		21	0.788991	1.9809428	0.0	0.001178128	0.032	2550	tags=76%, list=19%, signal=94%	
CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048	CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048		35	0.70640683	1.9780809	0.0	0.0012396524	0.035	1104	tags=40%, list=8%, signal=43%	
MICROGLIAL CELL ACTIVATION%GOBP%GO:0001774	MICROGLIAL CELL ACTIVATION%GOBP%GO:0001774		17	0.818637	1.969993	0.0	0.0014900226	0.043	1973	tags=71%, list=15%, signal=83%	
HEART PROCESS%GOBP%GO:0003015	HEART PROCESS%GOBP%GO:0003015		45	0.68301773	1.967145	0.0	0.0015064926	0.045	1104	tags=38%, list=8%, signal=41%	
STRIATED MUSCLE CONTRACTION%REACTOME%R-HSA-390522.3	STRIATED MUSCLE CONTRACTION%REACTOME%R-HSA-390522.3		26	0.751027	1.9661149	0.0	0.0015216686	0.047	1811	tags=50%, list=13%, signal=58%	
REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032651	REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032651		64	0.6334418	1.9642175	0.0	0.0015951372	0.051	1407	tags=44%, list=10%, signal=49%	
SARCOMERE ORGANIZATION%GOBP%GO:0045214	SARCOMERE ORGANIZATION%GOBP%GO:0045214		23	0.7725859	1.9557405	0.0	0.0020685787	0.066	670	tags=43%, list=5%, signal=46%	
PARKINSON DISEASE%PANTHER PATHWAY%P00049	PARKINSON DISEASE%PANTHER PATHWAY%P00049		33	0.7191183	1.9520758	0.0	0.002066903	0.068	1948	tags=52%, list=14%, signal=60%	
DETECTION OF CHEMICAL STIMULUS%GOBP%GO:0009593	DETECTION OF CHEMICAL STIMULUS%GOBP%GO:0009593		34	0.7036961	1.951139	0.0	0.0020923745	0.071	1631	tags=38%, list=12%, signal=43%	
REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0034121	REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0034121		23	0.7685218	1.9476447	0.0	0.0021956903	0.076	1448	tags=48%, list=11%, signal=54%	
RESPONSE TO FUNGUS%GOBP%GO:0009620	RESPONSE TO FUNGUS%GOBP%GO:0009620		21	0.7759189	1.9460825	0.0	0.0022675786	0.081	2108	tags=76%, list=16%, signal=90%	
REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032680	REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032680		107	0.58423287	1.9422787	0.0	0.002412716	0.088	2018	tags=39%, list=15%, signal=46%	
INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229		64	0.62514377	1.9390885	0.0	0.0025001988	0.094	2037	tags=36%, list=15%, signal=42%	
ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032		76	0.6245348	1.9376153	0.0	0.002488662	0.095	2250	tags=43%, list=17%, signal=52%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE		80	0.6154474	1.932329	0.0	0.0027347372	0.107	2747	tags=56%, list=20%, signal=70%	
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.6	ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.6		84	0.60159713	1.9322177	0.0	0.002672584	0.107	2804	tags=48%, list=21%, signal=60%	
CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016		45	0.66618204	1.9320123	0.0	0.0026131934	0.107	2111	tags=42%, list=16%, signal=50%	
LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171	LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171		75	0.61683846	1.9292786	0.0	0.002775298	0.113	2392	tags=44%, list=18%, signal=53%	
PLATELET AGGREGATION%GOBP%GO:0070527	PLATELET AGGREGATION%GOBP%GO:0070527		33	0.7165278	1.9290968	0.0	0.002737607	0.114	2997	tags=61%, list=22%, signal=78%	
LYSOSOME ORGANIZATION%GOBP%GO:0007040	LYSOSOME ORGANIZATION%GOBP%GO:0007040		75	0.61683846	1.9289227	0.0	0.0026805736	0.114	2392	tags=44%, list=18%, signal=53%	
STRIATED MUSCLE CONTRACTION%GOBP%GO:0006941	STRIATED MUSCLE CONTRACTION%GOBP%GO:0006941		49	0.66528356	1.927419	0.0	0.0027292287	0.119	1375	tags=37%, list=10%, signal=41%	
DETECTION OF EXTERNAL BIOTIC STIMULUS%GOBP%GO:0098581	DETECTION OF EXTERNAL BIOTIC STIMULUS%GOBP%GO:0098581		18	0.79753655	1.9234494	0.0	0.0029376808	0.13	1407	tags=56%, list=10%, signal=62%	
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20240210%WP2118%HOMO SAPIENS	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20240210%WP2118%HOMO SAPIENS		36	0.67950135	1.9205594	0.0	0.0030574035	0.139	1472	tags=33%, list=11%, signal=37%	
REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032677	REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032677		64	0.6311225	1.9176655	0.0	0.0031541314	0.145	2067	tags=41%, list=15%, signal=48%	
GLYCOLYSIS%BIOCYC%PWY66-400	GLYCOLYSIS%BIOCYC%PWY66-400		19	0.7944671	1.9121631	0.0	0.0034568477	0.159	981	tags=58%, list=7%, signal=62%	
DISEASES OF IMMUNE SYSTEM%REACTOME%R-HSA-5260271.5	DISEASES OF IMMUNE SYSTEM%REACTOME%R-HSA-5260271.5		27	0.73404145	1.9114467	0.001457726	0.0034302818	0.16	1407	tags=48%, list=10%, signal=54%	
HEMOSTASIS%GOBP%GO:0007599	HEMOSTASIS%GOBP%GO:0007599		99	0.58638316	1.9098146	0.0	0.0034775366	0.164	2639	tags=46%, list=20%, signal=57%	
ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252	ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252		33	0.69785196	1.9076903	0.0	0.003505281	0.167	1070	tags=33%, list=8%, signal=36%	
DEFECTS IN TOLL-LIKE RECEPTOR CASCADES%REACTOME%R-HSA-5602358.5	DEFECTS IN TOLL-LIKE RECEPTOR CASCADES%REACTOME%R-HSA-5602358.5		27	0.73404145	1.9019454	0.0	0.0039033897	0.188	1407	tags=48%, list=10%, signal=54%	
INNATE IMMUNE RESPONSE-ACTIVATING SIGNALING PATHWAY%GOBP%GO:0002758	INNATE IMMUNE RESPONSE-ACTIVATING SIGNALING PATHWAY%GOBP%GO:0002758		113	0.5696157	1.8995887	0.0	0.004061221	0.197	2268	tags=43%, list=17%, signal=52%	
MEMBRANE LIPID CATABOLIC PROCESS%GOBP%GO:0046466	MEMBRANE LIPID CATABOLIC PROCESS%GOBP%GO:0046466		31	0.7020605	1.8980134	0.0	0.004128344	0.205	1721	tags=55%, list=13%, signal=63%	
STRIATED MUSCLE CONTRACTION PATHWAY%WIKIPATHWAYS_20240210%WP383%HOMO SAPIENS	STRIATED MUSCLE CONTRACTION PATHWAY%WIKIPATHWAYS_20240210%WP383%HOMO SAPIENS		17	0.79130375	1.8891106	0.0	0.0050832583	0.255	1104	tags=47%, list=8%, signal=51%	
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 65%216083	INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 65%216083		45	0.66004294	1.8880678	0.0	0.0051820497	0.26	1568	tags=33%, list=12%, signal=38%	
REGULATION OF HEART RATE%GOBP%GO:0002027	REGULATION OF HEART RATE%GOBP%GO:0002027		48	0.6395006	1.8877549	0.0	0.0050984686	0.26	1082	tags=31%, list=8%, signal=34%	
REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032652	REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032652		74	0.59731895	1.8844398	0.0	0.0053856624	0.279	1407	tags=38%, list=10%, signal=42%	
REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543	REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543		41	0.6492357	1.8836582	0.0	0.005395423	0.283	1551	tags=49%, list=12%, signal=55%	
POSITIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050729	POSITIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050729		91	0.5833579	1.8815078	0.0	0.0056082094	0.297	1303	tags=36%, list=10%, signal=40%	
REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050764	REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050764		63	0.6129993	1.8754501	0.0	0.0062724524	0.33	2258	tags=46%, list=17%, signal=55%	
PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221		94	0.57409376	1.8746557	0.0	0.006239044	0.334	2268	tags=45%, list=17%, signal=53%	
REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903555	REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903555		112	0.5699106	1.8730733	0.0	0.0064586992	0.346	2018	tags=38%, list=15%, signal=45%	
BLOOD COAGULATION%GOBP%GO:0007596	BLOOD COAGULATION%GOBP%GO:0007596		95	0.58031493	1.8705624	0.0	0.006700039	0.363	2639	tags=46%, list=20%, signal=57%	
POSITIVE REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032757	POSITIVE REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032757		48	0.64835644	1.8692075	0.0	0.0067760954	0.371	1303	tags=35%, list=10%, signal=39%	
ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048		53	0.6329612	1.8674935	0.0	0.0069077117	0.379	1070	tags=26%, list=8%, signal=29%	
COAGULATION%GOBP%GO:0050817	COAGULATION%GOBP%GO:0050817		95	0.58031493	1.8651187	0.0	0.0071190684	0.393	2639	tags=46%, list=20%, signal=57%	
MULTICELLULAR ORGANISMAL MOVEMENT%GOBP%GO:0050879	MULTICELLULAR ORGANISMAL MOVEMENT%GOBP%GO:0050879		19	0.76111597	1.8571516	0.0	0.008265231	0.444	1375	tags=42%, list=10%, signal=47%	
DETECTION OF STIMULUS%GOBP%GO:0051606	DETECTION OF STIMULUS%GOBP%GO:0051606		79	0.59256804	1.8566118	0.0	0.008194543	0.445	2670	tags=37%, list=20%, signal=46%	
BLOOD CIRCULATION%GOBP%GO:0008015	BLOOD CIRCULATION%GOBP%GO:0008015		156	0.5444984	1.8560536	0.0	0.008139112	0.447	1228	tags=25%, list=9%, signal=27%	
MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 65%397014	MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 65%397014		122	0.56052244	1.8556137	0.0	0.008058209	0.448	1305	tags=28%, list=10%, signal=31%	
PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME%R-HSA-211945.8	PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME%R-HSA-211945.8		48	0.6409048	1.8553632	0.0	0.007966383	0.449	2334	tags=31%, list=17%, signal=38%	
RESPIRATORY BURST%GOBP%GO:0045730	RESPIRATORY BURST%GOBP%GO:0045730		16	0.7915049	1.8546319	0.0	0.007929093	0.449	799	tags=50%, list=6%, signal=53%	
WARBURG EFFECT%SMPDB%SMP0087270	WARBURG EFFECT%SMPDB%SMP0087270		40	0.65982175	1.854035	0.0	0.007943715	0.455	2127	tags=50%, list=16%, signal=59%	
MUSCULOSKELETAL MOVEMENT%GOBP%GO:0050881	MUSCULOSKELETAL MOVEMENT%GOBP%GO:0050881		19	0.76111597	1.8522725	0.0	0.008071334	0.462	1375	tags=42%, list=10%, signal=47%	
MUSCLE SYSTEM PROCESS%GOBP%GO:0003012	MUSCLE SYSTEM PROCESS%GOBP%GO:0003012		110	0.56030625	1.848942	0.0	0.008543008	0.481	2645	tags=43%, list=20%, signal=53%	
CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033627	CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033627		24	0.7075981	1.8489157	0.0	0.008438825	0.481	1568	tags=42%, list=12%, signal=47%	
MUSCLE CONTRACTION%GOBP%GO:0006936	MUSCLE CONTRACTION%GOBP%GO:0006936		92	0.57264704	1.8448958	0.0	0.009004227	0.51	2645	tags=43%, list=20%, signal=54%	
ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690	ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690		59	0.60355574	1.8408698	0.0	0.009568449	0.539	1117	tags=32%, list=8%, signal=35%	
WOUND HEALING%GOBP%GO:0042060	WOUND HEALING%GOBP%GO:0042060		175	0.52920896	1.8390852	0.0	0.009788912	0.549	2307	tags=38%, list=17%, signal=45%	
NUCLEOTIDE BINDING OLIGOMERIZATION DOMAIN NOD PATHWAY%WIKIPATHWAYS_20240210%WP1433%HOMO SAPIENS	NUCLEOTIDE BINDING OLIGOMERIZATION DOMAIN NOD PATHWAY%WIKIPATHWAYS_20240210%WP1433%HOMO SAPIENS		33	0.67316055	1.8362697	0.0	0.010154991	0.569	1203	tags=39%, list=9%, signal=43%	
DEFENSE RESPONSE TO FUNGUS%GOBP%GO:0050832	DEFENSE RESPONSE TO FUNGUS%GOBP%GO:0050832		18	0.7634732	1.8360775	0.0	0.010049959	0.57	2108	tags=72%, list=16%, signal=86%	
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830		37	0.6592992	1.8356214	0.0014836795	0.010038428	0.574	3076	tags=51%, list=23%, signal=66%	
LIPID CATABOLIC PROCESS%GOBP%GO:0016042	LIPID CATABOLIC PROCESS%GOBP%GO:0016042		146	0.5346546	1.8331866	0.0	0.010356111	0.587	2028	tags=34%, list=15%, signal=40%	
RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.8	RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.8		21	0.7460651	1.8322674	0.0	0.010453448	0.597	1905	tags=57%, list=14%, signal=66%	
MHC CLASS II ANTIGEN PRESENTATION%REACTOME DATABASE ID RELEASE 65%2132295	MHC CLASS II ANTIGEN PRESENTATION%REACTOME DATABASE ID RELEASE 65%2132295		96	0.5657278	1.8315324	0.0	0.010482611	0.607	2200	tags=32%, list=16%, signal=38%	
REGULATION OF ENDOCYTOSIS%GOBP%GO:0030100	REGULATION OF ENDOCYTOSIS%GOBP%GO:0030100		167	0.52913564	1.8303769	0.0	0.010654292	0.616	2670	tags=41%, list=20%, signal=51%	
MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001		64	0.5956902	1.8298466	0.0	0.010648489	0.621	1460	tags=30%, list=11%, signal=33%	
POSITIVE REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043302	POSITIVE REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043302		15	0.78415275	1.8280189	0.0015243902	0.010855722	0.633	1834	tags=47%, list=14%, signal=54%	
SYNTHESIS OF PA%REACTOME DATABASE ID RELEASE 65%1483166	SYNTHESIS OF PA%REACTOME DATABASE ID RELEASE 65%1483166		23	0.7240142	1.8257356	0.0	0.011292744	0.649	1607	tags=52%, list=12%, signal=59%	
SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.8	SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.8		33	0.6711982	1.8249177	0.0015503876	0.011311451	0.654	559	tags=39%, list=4%, signal=41%	
PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524		76	0.5784665	1.8235846	0.0	0.01152781	0.665	2366	tags=45%, list=18%, signal=54%	
GLYCEROPHOSPHOLIPID BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 65%1483206	GLYCEROPHOSPHOLIPID BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 65%1483206		88	0.56974196	1.8212823	0.0	0.011994055	0.684	1919	tags=36%, list=14%, signal=42%	
PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025	PHOSPHOLIPID BIOSYNTHESIS%SMPDB%SMP0000025		20	0.72520036	1.8140934	0.001572327	0.0134318555	0.731	883	tags=40%, list=7%, signal=43%	
WARBURG EFFECT%PATHWHIZ%PW000630	WARBURG EFFECT%PATHWHIZ%PW000630		41	0.6370656	1.8132192	0.0014513788	0.013489614	0.734	2127	tags=49%, list=16%, signal=58%	
RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341		61	0.6016352	1.8115919	0.0	0.0137742665	0.745	2145	tags=49%, list=16%, signal=58%	
REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886	REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886		33	0.66111165	1.8106691	0.00147929	0.013856692	0.755	1973	tags=52%, list=15%, signal=60%	
PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362	PYRIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0019362		70	0.5815465	1.8062053	0.0	0.014776179	0.781	2366	tags=46%, list=18%, signal=55%	
NICOTINAMIDE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0046496	NICOTINAMIDE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0046496		70	0.5815465	1.8044192	0.0	0.015020909	0.79	2366	tags=46%, list=18%, signal=55%	
INTEGRIN FAMILY CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN FAMILY CELL SURFACE INTERACTIONS	INTEGRIN FAMILY CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN FAMILY CELL SURFACE INTERACTIONS		22	0.7260266	1.8040956	0.0	0.014964503	0.793	1568	tags=41%, list=12%, signal=46%	
HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034109	HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034109		41	0.63656265	1.803968	0.0	0.014851829	0.793	2439	tags=46%, list=18%, signal=56%	
REGULATION OF MAST CELL DEGRANULATION%GOBP%GO:0043304	REGULATION OF MAST CELL DEGRANULATION%GOBP%GO:0043304		16	0.7796814	1.803746	0.0	0.014760219	0.795	1834	tags=69%, list=14%, signal=80%	
SKELETAL MUSCLE CONTRACTION%GOBP%GO:0003009	SKELETAL MUSCLE CONTRACTION%GOBP%GO:0003009		16	0.75581855	1.8036954	0.0	0.014632914	0.795	1375	tags=44%, list=10%, signal=49%	
ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154	ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154		48	0.6156289	1.8027331	0.0014513788	0.014775571	0.799	1947	tags=42%, list=14%, signal=49%	
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742		126	0.54098254	1.7993132	0.0	0.01571403	0.823	2648	tags=40%, list=20%, signal=49%	
